source,title_words,title_is_question,words,read_min,paras,para_median_words,para_p90_words,lead_words,h2,h3,heads,words_per_section,head_question_pct,head_median_words,code_blocks,tables,images,lists,list_items,quotes,links_per_1kw,nums_per_100w,nums_in_lead_150,nums_per_100w_body,wps_median,wps_p90,pct_sent_over_30,pct_sent_under_12,we_per_1kw,you_per_1kw,i_per_1kw,emdash_per_1kw,has_code,has_chart
anthropic,15,False,531,2.3,11,51,70,51,3,3,6,76,0,6.0,0,0,1,1,4,0,15.1,1.51,3,1.31,21,46,17.4,4.3,22.6,0.0,0.0,5.6,False,True
anthropic,14,False,1059,4.6,15,64,134,59,4,3,7,132,0,5,0,0,1,0,0,0,8.5,1.61,3,1.54,23,31,12.8,8.5,6.6,0.9,0.0,2.8,False,True
anthropic,4,False,916,4.0,22,40.5,68,60,6,3,9,92,0,6,0,0,13,3,18,11,20.7,0.44,1,0.39,23,35,15.4,10.3,9.8,4.4,0.0,5.5,False,True
anthropic,4,False,591,2.6,14,42.5,71,45,7,3,10,54,0,4.5,0,0,2,5,15,0,25.4,0.68,0,0.91,23.0,40,16.7,12.5,16.9,1.7,0.0,5.1,False,True
anthropic,3,False,823,3.6,18,47.5,85,12,3,3,6,118,0,4.5,0,0,3,1,4,0,14.6,0.36,1,0.3,17.5,30,6.5,19.6,17.0,13.4,0.0,4.9,False,True
anthropic,14,False,807,3.5,17,42,84,26,6,3,9,81,0,6,0,0,1,2,8,0,8.7,0.62,2,0.46,24,40,29.0,12.9,7.4,0.0,0.0,8.7,False,True
anthropic,6,False,294,1.3,7,38,65,49,4,3,7,37,14,4,0,0,1,0,0,0,23.8,0.0,0,0.0,24.0,38,16.7,0.0,37.4,0.0,0.0,0.0,False,True
anthropic,12,False,780,3.4,19,45,74,58,6,3,9,78,0,5,0,0,5,0,0,0,10.3,1.54,4,1.27,23.5,32,17.6,11.8,16.7,0.0,3.8,9.0,False,True
anthropic,6,False,4246,18.5,64,51.0,122,10,6,5,11,354,0,4,1,3,18,1,4,4,3.1,0.54,0,0.56,22,36,18.8,13.6,5.4,1.2,16.7,3.8,True,True
anthropic,15,False,532,2.3,12,34.0,86,65,1,3,4,106,0,6.0,0,0,1,0,0,0,11.3,0.0,0,0.0,19.5,31,16.7,8.3,15.0,0.0,0.0,3.8,False,True
anthropic,16,False,462,2.0,7,55,142,39,1,3,4,92,0,6.0,0,0,0,0,0,0,13.0,0.87,3,0.32,27,49,29.4,0.0,26.0,0.0,0.0,6.5,False,False
anthropic,9,False,620,2.7,13,46,77,54,2,3,5,103,0,6,0,0,1,0,0,4,12.9,0.81,1,0.85,20,37,17.2,10.3,51.6,1.6,0.0,4.8,False,True
anthropic,6,False,289,1.3,7,37,77,37,1,3,4,58,0,6.0,0,0,0,9,24,0,31.1,0.0,0,0.0,17,29,0.0,6.7,51.9,3.5,0.0,0.0,False,False
anthropic,15,False,799,3.5,15,48,104,21,3,3,6,114,0,5.5,0,0,1,0,0,0,12.5,3.75,7,3.54,27.5,54,45.8,4.2,26.3,0.0,0.0,6.3,False,True
anthropic,5,False,1376,6.0,21,65,93,5,5,3,8,153,12,4.5,0,0,1,1,1,0,8.0,0.65,1,0.65,21,39,22.0,15.3,29.1,0.0,0.0,8.7,False,True
anthropic,6,False,1446,6.3,23,51,118,97,6,3,9,145,0,2,0,0,1,2,5,0,11.1,1.8,4,1.7,22.0,49,28.6,12.5,44.3,0.0,0.0,2.1,False,True
anthropic,7,False,2715,11.8,32,82.0,136,22,1,8,9,272,11,4,0,0,7,1,8,0,4.1,0.74,0,0.78,16.0,29,7.3,20.7,21.7,1.8,0.4,1.8,False,True
anthropic,11,False,811,3.5,11,50,111,74,1,4,5,135,0,6,0,0,1,0,0,0,13.6,0.49,1,0.45,27.0,38,33.3,0.0,29.6,1.2,1.2,3.7,False,True
anthropic,6,False,1125,4.9,19,44,128,128,6,3,9,112,0,5,0,0,1,4,13,0,16.0,0.18,0,0.21,24,35,24.4,2.2,73.8,1.8,0.0,0.0,False,True
anthropic,8,False,2009,8.7,39,44,99,61,12,3,15,126,7,4,1,0,11,6,21,0,9.5,1.84,0,1.99,20.0,35,14.6,18.8,28.4,1.0,0.0,3.0,True,True
anthropic,4,False,709,3.1,23,28,48,15,8,3,11,59,0,5,0,0,20,3,10,15,25.4,1.55,1,1.79,21,38,22.6,16.1,33.9,0.0,0.0,0.0,False,True
anthropic,3,False,1187,5.2,24,43.0,100,26,5,3,8,132,0,2.0,0,0,7,5,17,0,18.5,4.38,12,3.86,21.0,31,12.5,8.9,16.8,9.3,0.0,6.7,False,True
anthropic,4,False,1448,6.3,31,41,77,64,6,3,9,145,0,5,1,0,43,0,0,21,19.3,3.8,6,3.78,18.0,28,6.4,16.7,32.5,7.6,0.0,6.2,True,True
anthropic,7,False,1447,6.3,6,258.0,384,321,5,3,8,161,0,5.5,0,0,2,0,0,0,13.1,0.21,1,0.15,23.0,41,31.5,9.3,40.1,1.4,0.7,0.0,False,True
anthropic,4,False,338,1.5,6,52.0,90,44,1,3,4,68,0,6.0,0,0,4,1,6,0,26.6,3.85,8,2.66,17,32,11.8,11.8,14.8,29.6,0.0,0.0,False,True
anthropic,5,False,4771,20.7,83,50,108,50,8,11,19,239,5,4,2,4,10,19,76,0,6.3,0.86,0,0.89,19,30,8.8,19.7,8.4,7.8,0.4,3.6,True,True
anthropic,6,False,2964,12.9,49,61,88,62,6,1,7,370,0,5,0,0,4,1,3,0,6.4,0.24,0,0.25,23.5,36,18.5,9.7,12.5,4.4,0.7,2.0,False,True
anthropic,5,False,287,1.2,6,35.5,91,65,4,3,7,36,0,2,0,0,0,3,17,0,34.8,0.0,0,0.0,24,38,27.3,0.0,27.9,0.0,0.0,0.0,False,False
anthropic,8,False,1709,7.4,25,66,98,98,2,9,11,142,0,6,0,0,5,2,16,0,16.4,1.05,2,1.03,24,50,35.6,6.8,10.5,0.0,1.2,5.9,False,True
anthropic,6,False,201,0.9,6,33.5,56,24,2,3,5,34,0,6,0,0,2,1,3,0,64.7,2.99,6,0.0,21,49,11.1,33.3,14.9,0.0,0.0,10.0,False,True
anthropic,11,False,474,2.1,8,56.0,131,39,5,3,8,53,0,5.5,0,0,3,1,3,0,52.7,0.63,2,0.31,24,39,10.5,0.0,19.0,0.0,0.0,0.0,False,True
anthropic,7,False,412,1.8,9,37,93,59,1,3,4,82,0,6.0,0,0,7,0,0,0,19.4,5.83,8,6.11,19,29,4.8,14.3,21.8,0.0,0.0,0.0,False,True
anthropic,4,False,1218,5.3,24,49.0,81,41,5,3,8,135,0,5.0,0,0,23,1,8,15,26.3,3.2,12,2.53,18,35,16.9,13.6,22.2,8.2,0.0,6.6,False,True
