source,title_words,title_is_question,words,read_min,paras,para_median_words,para_p90_words,lead_words,h2,h3,heads,words_per_section,head_question_pct,head_median_words,code_blocks,tables,images,lists,list_items,quotes,links_per_1kw,nums_per_100w,nums_in_lead_150,nums_per_100w_body,wps_median,wps_p90,pct_sent_over_30,pct_sent_under_12,we_per_1kw,you_per_1kw,i_per_1kw,emdash_per_1kw,has_code,has_chart
fly,7,False,1466,6.4,33,40,77,46,1,0,1,733,100,4,2,0,5,1,2,0,15.7,0.07,0,0.08,14.0,32,13.6,33.0,44.3,24.6,0.0,0.0,True,True
fly,6,False,3702,16.1,96,30.5,75,48,0,0,0,3702,0,0,2,0,3,8,36,4,19.2,1.24,0,1.3,17,32,11.3,22.1,0.8,11.6,26.5,0.3,True,True
fly,6,False,1437,6.2,36,36.5,72,68,1,0,1,718,0,5,0,0,6,1,7,0,11.1,0.42,0,0.47,15,30,8.9,22.8,43.1,11.1,2.1,0.0,False,True
fly,9,False,667,2.9,22,27.5,52,12,0,0,0,667,0,0,2,0,4,1,4,1,15.0,0.6,2,0.39,12,24,3.9,47.1,12.0,27.0,7.5,0.0,True,True
fly,9,False,493,2.1,9,53,86,62,0,0,0,493,0,0,1,0,1,0,0,0,12.2,0.81,2,0.58,14.5,26,6.7,33.3,12.2,10.1,6.1,0.0,True,True
fly,11,False,277,1.2,5,58,91,31,0,0,0,277,0,0,0,0,1,2,2,0,46.9,0.0,0,0.0,17.0,30,6.2,37.5,21.7,46.9,3.6,0.0,False,True
fly,10,False,1634,7.1,34,47.0,85,46,0,0,0,1634,0,0,0,0,3,0,0,0,7.3,0.37,1,0.34,14.0,32,10.2,33.7,28.2,18.4,3.7,0.0,False,True
fly,8,False,756,3.3,26,23.0,70,20,1,0,1,378,0,5,2,0,10,1,4,0,17.2,0.0,0,0.0,13,24,5.7,39.6,6.6,35.7,21.2,0.0,True,True
fly,9,False,922,4.0,42,22.5,33,33,0,0,0,922,0,0,8,0,3,0,0,0,15.2,0.33,0,0.39,16,27,9.4,22.6,10.8,24.9,8.7,0.0,True,True
fly,10,False,589,2.6,8,85.5,99,34,0,0,0,589,0,0,0,0,1,4,4,0,37.4,0.0,0,0.0,23,42,24.0,16.0,25.5,40.7,0.0,0.0,False,True
fly,7,False,853,3.7,27,25,64,40,1,0,1,426,0,7,2,0,5,2,8,0,27.0,0.0,0,0.0,13,26,5.3,43.9,3.5,18.8,5.9,0.0,True,True
fly,6,False,765,3.3,30,22.5,52,35,1,0,1,382,0,4,5,0,8,1,2,0,18.3,0.26,1,0.16,13.0,25,1.9,37.0,15.7,48.4,6.5,0.0,True,True
fly,11,False,351,1.5,14,24.0,45,31,0,0,0,351,0,0,0,0,3,0,0,0,25.6,0.0,0,0.0,18,33,10.5,26.3,8.5,34.2,0.0,0.0,False,True
fly,8,False,2686,11.7,54,48.5,90,68,1,0,1,1343,0,6,2,0,5,0,0,0,8.9,2.53,0,2.68,14,28,6.9,38.2,21.6,29.4,1.1,1.1,True,True
fly,9,False,633,2.8,13,51,79,33,1,0,1,316,0,6,2,0,3,1,2,0,12.6,0.63,2,0.41,15.5,24,0.0,17.5,39.5,28.4,0.0,0.0,True,True
fly,7,False,224,1.0,10,18.0,43,43,1,0,1,112,0,6,1,0,5,0,0,0,44.6,0.0,0,0.0,16.0,28,8.3,16.7,49.1,4.5,0.0,0.0,True,True
fly,8,False,1250,5.4,36,28.5,66,60,1,0,1,625,0,5,2,0,6,4,20,0,6.4,0.0,0,0.0,18,35,14.9,32.8,18.4,30.4,0.0,4.0,True,True
fly,11,False,500,2.2,18,20.0,65,65,1,0,1,250,0,9,6,0,3,1,3,0,38.0,1.0,4,0.29,14,26,3.0,30.3,36.0,28.0,4.0,0.0,True,True
fly,9,False,1908,8.3,41,49,81,22,2,0,2,636,0,4.5,3,0,5,0,0,0,13.6,0.63,0,0.68,15.0,33,15.5,39.1,25.7,35.1,10.0,2.1,True,True
fly,6,False,1499,6.5,35,45,69,58,0,0,0,1499,0,0,0,0,8,3,11,0,10.7,0.53,1,0.52,18.5,36,16.2,28.4,37.4,11.3,0.0,0.0,False,True
fly,9,False,3202,13.9,71,42,75,38,1,0,1,1601,0,4,7,0,7,1,5,0,10.3,0.59,0,0.62,13.0,24,4.0,45.1,17.5,16.9,11.9,0.0,True,True
fly,7,False,2788,12.1,65,40,76,71,1,0,1,1394,0,4,0,0,5,4,18,0,17.6,0.57,0,0.61,15,28,6.7,41.3,28.3,14.0,5.0,0.4,False,True
fly,8,False,634,2.8,17,43,56,43,0,0,0,634,0,0,6,0,1,0,0,0,15.8,0.32,0,0.41,18,29,8.6,22.9,17.4,33.1,0.0,0.0,True,True
fly,9,False,1339,5.8,29,43,76,41,0,0,0,1339,0,0,1,0,4,1,2,0,8.2,0.3,0,0.34,18,30,9.9,19.7,23.9,20.2,0.0,0.0,True,True
fly,9,False,537,2.3,12,49.0,61,50,0,0,0,537,0,0,0,0,1,0,0,0,18.6,0.74,0,1.03,17.0,27,0.0,10.0,24.2,18.6,0.0,1.9,False,True
fly,12,False,3046,13.2,65,47,79,62,0,0,0,3046,0,0,0,0,3,3,17,0,15.8,0.53,0,0.55,16,34,14.9,34.8,35.8,30.2,16.1,0.0,False,True
fly,11,False,2387,10.4,66,31.0,74,45,1,0,1,1194,0,2,20,0,8,4,16,0,15.1,0.59,0,0.63,16,32,10.2,27.7,30.6,33.9,0.8,2.9,True,True
fly,10,False,914,4.0,23,32,63,25,0,0,0,914,0,0,0,0,3,3,12,0,4.4,1.42,4,1.18,13.5,28,5.2,39.7,41.6,12.0,0.0,0.0,False,True
fly,7,False,2131,9.3,48,44.0,76,37,1,1,2,710,0,4.5,1,0,6,1,6,0,5.6,0.19,0,0.2,15.0,28,5.6,34.1,26.3,38.0,0.5,0.0,True,True
fly,9,False,1642,7.1,41,40,69,36,0,0,0,1642,0,0,8,0,3,1,4,0,8.5,0.91,1,0.94,10.0,23,5.2,59.7,10.4,43.8,25.0,0.6,True,True
fly,8,False,748,3.3,25,22,58,17,0,0,0,748,0,0,2,0,4,2,11,0,34.8,0.8,3,0.5,14.0,36,11.9,35.7,2.7,40.1,17.4,0.0,True,True
fly,7,False,427,1.9,11,29,77,43,1,0,1,214,0,3,0,0,5,4,22,0,39.8,0.7,3,0.0,23,38,26.3,26.3,60.9,9.4,2.3,2.3,False,True
fly,12,False,611,2.7,13,45,81,29,0,0,0,611,0,0,0,0,1,5,29,0,19.6,0.33,1,0.22,18.0,40,10.0,13.3,13.1,52.4,0.0,0.0,False,True
fly,8,False,1008,4.4,25,40,64,43,1,0,1,504,0,5,5,0,3,0,0,0,9.9,1.09,0,1.28,14.0,31,10.0,36.7,30.8,50.6,2.0,6.9,True,True
fly,14,False,274,1.2,12,24.0,31,31,0,0,0,274,0,0,0,0,1,2,8,0,124.1,1.46,2,1.61,12,17,0.0,42.9,25.5,3.6,0.0,0.0,False,True
fly,10,False,614,2.7,16,28.0,72,72,0,0,0,614,0,0,5,0,2,0,0,0,11.4,1.14,0,1.51,15,28,5.1,33.3,21.2,22.8,6.5,0.0,True,True
fly,7,False,1326,5.8,35,36,74,78,0,0,0,1326,0,0,1,0,5,1,2,0,7.5,0.15,0,0.17,14.0,27,5.8,43.0,32.4,18.1,3.8,1.5,True,True
fly,12,False,1007,4.4,24,41.0,75,39,0,0,0,1007,0,0,0,0,3,0,0,0,7.0,0.7,0,0.82,15,27,1.6,27.9,10.9,34.8,3.0,0.0,False,True
fly,6,False,1319,5.7,34,38.5,79,29,1,0,1,660,0,5,0,0,5,0,0,0,4.5,0.45,1,0.43,16,30,7.6,40.5,38.7,44.0,5.3,1.5,False,True
fly,11,False,282,1.2,11,27,47,27,0,0,0,282,0,0,0,0,3,0,0,0,53.2,1.06,3,0.0,19.0,31,14.3,14.3,24.8,35.5,3.5,3.5,False,True
fly,7,False,816,3.5,19,48,77,28,0,0,0,816,0,0,8,0,1,0,0,0,11.0,0.0,0,0.0,18.0,28,9.1,25.0,20.8,40.4,0.0,0.0,True,True
fly,5,False,2044,8.9,43,46,66,40,0,0,0,2044,0,0,0,0,4,1,3,0,16.1,0.2,4,0.0,15.0,25,3.6,39.9,51.9,6.4,0.0,0.0,False,True
fly,10,False,853,3.7,15,56,91,22,0,1,1,426,0,4,0,0,1,0,0,0,12.9,0.0,0,0.0,17,31,10.6,25.5,32.8,8.2,0.0,0.0,False,True
fly,10,False,228,1.0,8,29.0,42,42,0,0,0,228,0,0,0,0,2,0,0,0,26.3,0.88,1,1.28,17.0,26,7.1,35.7,30.7,26.3,0.0,0.0,False,True
fly,10,False,2033,8.8,43,50,76,64,1,0,1,1016,0,5,0,0,5,4,13,0,10.3,0.49,0,0.53,12,27,4.4,43.1,29.0,17.7,11.3,1.0,False,True
fly,9,False,2471,10.7,68,35.0,65,51,1,0,1,1236,0,2,0,0,6,5,26,0,11.3,0.28,1,0.26,16,31,10.6,27.7,24.7,23.9,1.2,2.8,False,True
fly,14,False,567,2.5,13,42,62,54,0,0,0,567,0,0,0,0,5,0,0,0,8.8,0.0,0,0.0,15.5,29,5.9,32.4,42.3,81.1,0.0,0.0,False,True
fly,8,False,2735,11.9,52,49.0,90,39,0,0,0,2735,0,0,0,0,1,2,8,0,10.2,0.55,1,0.54,17.0,34,13.4,26.8,8.0,34.4,7.3,1.1,False,True
fly,11,False,1986,8.6,54,31.5,64,64,1,0,1,993,0,4,0,0,6,2,9,3,11.6,0.45,0,0.49,16.0,32,12.5,33.0,25.7,15.1,14.1,1.5,False,True
fly,11,False,665,2.9,17,37,62,44,0,0,0,665,0,0,4,0,1,0,0,0,15.0,0.15,0,0.19,17,33,11.4,22.9,27.1,39.1,0.0,0.0,True,True
fly,7,False,2242,9.7,44,56.5,78,78,1,0,1,1121,0,6,0,0,6,1,3,0,11.2,0.62,1,0.62,13,24,5.7,44.6,23.6,38.4,0.9,1.3,False,True
fly,8,False,316,1.4,5,57,104,57,0,0,0,316,0,0,0,0,1,0,0,0,28.5,0.0,0,0.0,17.0,23,0.0,11.1,34.8,41.1,0.0,0.0,False,True
fly,7,False,881,3.8,21,44,69,19,1,0,1,440,0,5,0,0,5,1,3,0,23.8,0.0,0,0.0,17.0,35,12.5,31.2,4.5,34.1,0.0,0.0,False,True
fly,11,False,2665,11.6,69,39,65,6,0,0,0,2665,0,0,0,0,4,1,5,0,4.5,0.53,1,0.52,9.0,21,1.6,64.2,8.6,32.6,27.0,3.4,False,True
fly,9,False,1247,5.4,26,45.0,69,67,0,0,0,1247,0,0,1,0,4,1,2,0,8.8,0.0,0,0.0,16.0,30,9.5,33.8,29.7,11.2,2.4,0.0,True,True
fly,7,False,870,3.8,38,22.5,33,28,0,0,0,870,0,0,4,0,3,2,6,0,18.4,0.34,0,0.42,13,27,5.1,40.7,39.1,17.2,9.2,0.0,True,True
fly,8,False,1343,5.8,34,33.0,63,37,0,0,0,1343,0,0,14,0,2,0,0,0,11.2,0.3,0,0.34,16,31,11.0,28.8,38.0,19.4,4.5,0.0,True,True
fly,3,False,8501,37.0,197,43,48,48,0,0,0,8501,0,0,0,0,198,0,0,0,23.3,0.59,0,0.6,17,35,15.3,30.2,31.3,24.7,10.7,0.7,False,True
fly,7,False,1620,7.0,41,36,77,39,1,0,1,810,0,4,4,0,5,0,0,0,9.9,0.31,1,0.27,11.0,25,5.0,53.3,36.4,16.0,0.0,0.0,True,True
fly,12,False,1260,5.5,28,46.0,72,30,0,0,0,1260,0,0,0,0,3,0,0,0,7.9,0.08,0,0.09,14.0,28,9.2,30.3,10.3,19.8,17.5,1.6,False,True
fly,10,False,836,3.6,20,34.5,84,41,0,0,0,836,0,0,7,0,1,0,0,0,15.6,0.0,0,0.0,17,34,14.0,25.6,23.9,34.7,1.2,0.0,True,True
fly,12,False,996,4.3,32,29.0,55,52,1,0,1,498,0,0,5,0,6,3,9,0,17.1,0.8,0,0.95,16,32,13.2,26.4,21.1,30.1,5.0,1.0,True,True
fly,7,False,673,2.9,26,19.5,52,15,1,0,1,336,0,5,2,2,5,2,8,0,23.8,0.89,0,1.15,13,25,4.3,42.6,4.5,25.3,1.5,0.0,True,True
fly,10,False,3193,13.9,70,44.0,81,46,1,0,1,1596,0,10,0,0,6,3,11,0,13.2,0.38,0,0.39,15,32,12.7,36.0,46.7,10.3,1.9,1.6,False,True
fly,9,False,1139,5.0,27,47,70,28,0,0,0,1139,0,0,6,0,1,0,0,0,7.9,0.26,0,0.3,20.5,32,14.3,19.6,8.8,49.2,2.6,0.0,True,True
fly,7,False,948,4.1,25,37,72,44,0,0,0,948,0,0,13,0,2,0,0,0,8.4,0.42,1,0.38,19,27,7.8,19.6,27.4,41.1,0.0,0.0,True,True
fly,10,False,2793,12.1,42,69.5,101,93,0,0,0,2793,0,0,0,0,1,1,3,1,11.8,0.86,2,0.83,17.5,40,19.9,25.7,5.7,25.8,9.7,2.5,False,True
fly,9,False,1499,6.5,30,42.0,86,39,0,0,0,1499,0,0,0,0,4,1,3,0,9.3,0.2,1,0.15,14.0,26,2.1,38.5,6.0,32.7,22.7,0.7,False,True
fly,10,False,1108,4.8,30,38.0,77,37,0,0,0,1108,0,0,2,0,4,5,11,0,16.2,0.09,1,0.0,17,35,17.0,26.4,34.3,19.9,9.0,2.7,True,True
fly,12,False,1231,5.4,30,42.5,90,50,1,0,1,616,0,6,0,0,6,1,5,0,16.2,0.24,1,0.19,18,28,6.0,22.4,21.9,19.5,0.0,0.0,False,True
fly,9,False,709,3.1,18,39.5,53,53,0,0,0,709,0,0,3,0,2,0,0,0,11.3,0.14,0,0.18,20,33,11.4,22.9,22.6,40.9,0.0,0.0,True,True
fly,9,False,546,2.4,14,33.5,85,37,0,0,0,546,0,0,4,0,3,4,9,0,29.3,0.73,0,1.01,18.5,33,14.3,28.6,9.2,42.1,5.5,0.0,True,True
fly,8,False,1600,7.0,45,36,55,49,0,0,0,1600,0,0,3,0,3,0,0,1,16.9,1.12,0,1.24,13,23,2.7,39.8,35.0,17.5,0.6,6.9,True,True
fly,6,False,1768,7.7,42,46.0,67,51,0,0,0,1768,0,0,2,0,3,1,2,0,10.2,0.28,1,0.25,15.0,26,4.7,32.1,23.8,25.5,0.0,1.1,True,True
fly,8,False,1527,6.6,67,19,42,27,1,0,1,764,0,5,23,0,5,2,5,1,22.3,0.72,1,0.73,14.0,29,7.6,35.9,39.3,26.2,5.9,0.0,True,True
fly,16,False,3376,14.7,97,36,56,53,1,0,1,1688,0,9,1,0,18,4,7,0,14.2,0.39,1,0.37,16.0,43,22.3,33.7,19.8,24.0,7.1,3.6,True,True
fly,10,False,1446,6.3,35,41,66,42,0,0,0,1446,0,0,0,0,3,8,15,3,2.1,0.76,2,0.69,18.0,28,5.0,18.8,20.1,6.2,3.5,0.0,False,True
fly,11,False,1072,4.7,29,34,77,39,0,0,0,1072,0,0,12,0,4,1,2,0,18.7,0.47,0,0.54,19.0,32,13.0,18.5,22.4,27.1,11.2,0.0,True,True
fly,13,False,1507,6.6,32,38.0,81,32,1,0,1,754,0,6,4,0,7,2,6,0,10.6,0.13,0,0.15,17,31,11.1,24.7,11.3,29.2,8.6,3.3,True,True
fly,9,False,308,1.3,11,23,45,55,1,0,1,154,0,5,0,0,3,3,8,0,42.2,3.25,3,4.43,10.5,21,3.8,53.8,3.2,22.7,16.2,0.0,False,True
fly,9,False,1807,7.9,34,53.0,86,67,0,0,0,1807,0,0,0,0,4,6,38,0,10.0,1.6,0,1.75,20.0,35,13.3,26.7,5.5,19.4,3.3,0.0,False,True
fly,9,False,2076,9.0,86,18.5,44,55,0,0,0,2076,0,0,0,0,4,1,3,0,6.3,0.48,3,0.36,11.0,24,2.6,50.6,25.5,19.3,31.3,0.5,False,True
fly,11,False,250,1.1,9,30,52,31,0,0,0,250,0,0,1,0,3,2,6,0,40.0,0.0,0,0.0,20,38,15.4,23.1,32.0,64.0,0.0,0.0,True,True
fly,11,False,1323,5.8,28,44.5,97,30,0,0,0,1323,0,0,7,0,3,0,0,0,11.3,0.83,0,0.94,17.0,37,13.2,25.0,15.9,29.5,0.0,0.0,True,True
fly,13,False,1763,7.7,50,39.0,59,44,1,1,2,588,0,4.5,5,0,6,1,3,1,7.9,0.23,1,0.19,17,30,9.5,24.2,27.8,14.7,0.0,1.1,True,True
fly,10,False,1990,8.7,42,47.0,80,22,1,0,1,995,0,9,1,0,5,0,0,0,12.1,0.55,0,0.6,14.5,30,8.8,38.6,38.2,32.7,2.0,0.5,True,True
fly,7,False,1130,4.9,36,26.0,61,26,0,0,0,1130,0,0,0,0,4,1,2,0,15.0,1.33,1,1.43,14.0,33,11.4,44.3,48.7,16.8,7.1,0.0,False,True
fly,13,False,331,1.4,8,43.0,63,56,0,0,0,331,0,0,0,0,1,0,0,0,33.2,0.0,0,0.0,17.0,31,10.0,35.0,18.1,36.3,0.0,6.0,False,True
fly,12,False,410,1.8,10,39.0,67,54,0,0,0,410,0,0,0,1,3,0,0,0,17.1,0.49,0,0.77,21.5,35,27.8,16.7,17.1,43.9,4.9,4.9,False,True
fly,11,False,957,4.2,27,33,59,31,1,0,1,478,0,4,0,0,9,3,11,0,25.1,0.1,1,0.0,16,29,8.8,28.1,52.2,42.8,0.0,0.0,False,True
fly,11,False,520,2.3,9,57,108,48,0,0,0,520,0,0,0,0,3,1,4,0,19.2,1.54,2,1.62,12,34,13.8,37.9,42.3,1.9,44.2,0.0,False,True
fly,8,False,1768,7.7,42,40.5,71,49,0,0,0,1768,0,0,1,0,3,4,14,0,11.3,0.9,0,0.99,17,27,6.1,20.2,17.5,27.1,1.1,0.0,True,True
fly,7,False,308,1.3,11,25,52,57,0,0,0,308,0,0,0,0,1,0,0,0,42.2,1.62,1,2.53,18,26,0.0,11.8,19.5,26.0,0.0,0.0,False,True
fly,8,False,1360,5.9,38,36.0,58,56,0,0,0,1360,0,0,1,0,3,1,3,0,5.9,0.07,0,0.08,13.0,28,6.4,43.6,33.8,18.4,3.7,0.0,True,True
grafana,13,False,889,3.9,36,19.0,54,59,4,12,16,52,0,2.0,1,0,6,4,21,1,43.9,2.81,15,1.35,15.0,32,13.0,28.3,21.4,16.9,0.0,0.0,True,True
grafana,10,False,2132,9.3,43,47,98,43,4,0,4,426,25,6.5,0,0,5,0,0,2,7.5,0.28,0,0.3,15,32,13.8,39.0,13.6,31.4,28.1,4.2,False,True
grafana,10,False,797,3.5,23,34,49,14,4,3,7,100,14,2,3,0,12,0,0,0,50.2,1.13,2,1.08,17.5,35,14.3,21.4,25.1,18.8,3.8,0.0,True,True
grafana,12,False,2407,10.5,37,64,102,95,7,3,10,219,10,8.0,0,0,14,3,11,0,14.1,0.33,0,0.35,29.5,56,48.6,6.8,9.1,5.0,1.7,0.0,False,True
grafana,12,False,1165,5.1,24,46.5,77,46,6,7,13,83,0,4,6,0,13,3,14,0,48.9,0.43,0,0.49,18,36,12.3,12.3,12.0,21.5,0.0,1.7,True,True
grafana,15,False,979,4.3,30,36.5,49,20,7,0,7,122,0,5,0,0,11,3,10,0,47.0,0.92,1,0.97,20.0,30,8.7,8.7,25.5,32.7,0.0,6.1,False,True
grafana,12,False,871,3.8,22,32.0,69,19,4,1,5,145,0,8,4,0,11,0,0,0,36.7,0.46,3,0.14,18.5,34,13.6,11.4,32.1,16.1,0.0,0.0,True,True
grafana,9,False,785,3.4,22,35.0,46,35,3,6,9,78,0,3,0,0,9,4,8,0,40.8,0.0,0,0.0,17.0,26,2.3,15.9,8.9,25.5,0.0,0.0,False,True
grafana,9,False,928,4.0,26,28.5,66,36,3,2,5,155,0,5,0,0,8,2,10,0,24.8,0.75,0,0.9,18,34,16.3,9.3,22.6,47.4,0.0,1.1,False,True
grafana,14,False,956,4.2,28,32.0,65,10,5,4,9,96,0,5,5,0,11,3,11,1,26.2,0.31,2,0.12,15,29,3.5,33.3,3.1,33.5,0.0,0.0,True,True
grafana,11,False,602,2.6,21,25,40,7,3,6,9,60,0,7,0,0,6,9,27,0,83.1,4.32,5,4.65,15,28,5.7,31.4,19.9,24.9,3.3,8.3,False,True
grafana,16,False,1169,5.1,19,52,98,45,1,1,2,390,0,7.0,0,0,6,0,0,2,11.1,0.09,0,0.1,25.5,54,36.8,13.2,13.7,22.2,29.1,4.3,False,True
grafana,4,False,2856,12.4,55,51,96,62,10,0,10,260,0,4.0,0,0,5,0,0,0,6.7,0.14,0,0.15,31.0,74,51.3,12.8,8.1,27.0,2.5,0.0,False,True
grafana,13,False,1865,8.1,44,40.0,89,29,7,0,7,233,0,5,0,0,14,0,0,0,19.3,0.16,0,0.17,20.0,35,17.0,13.6,5.9,15.5,0.0,0.0,False,True
grafana,10,False,1789,7.8,33,55,83,31,3,0,3,447,0,8,0,0,5,0,0,2,11.2,0.39,1,0.37,14,24,6.3,38.7,14.5,32.4,9.5,2.2,False,True
grafana,16,False,962,4.2,39,23,46,75,5,0,5,160,0,3,16,0,23,2,8,3,41.6,0.31,0,0.37,17,35,14.3,28.6,29.1,48.9,2.1,0.0,True,True
grafana,13,False,901,3.9,26,32.0,51,32,4,0,4,180,0,4.5,0,0,8,0,0,1,28.9,1.11,4,0.8,19.5,38,25.0,10.0,22.2,8.9,2.2,4.4,False,True
grafana,10,False,972,4.2,20,51.5,74,21,10,0,10,88,0,5.0,0,0,9,0,0,0,67.9,2.16,5,1.95,22.0,39,22.5,15.0,39.1,4.1,0.0,3.1,False,True
grafana,15,False,910,4.0,22,40.5,57,47,4,0,4,182,0,9.5,0,0,8,3,10,1,25.3,0.88,1,0.92,22.0,36,17.5,7.5,29.7,41.8,0.0,2.2,False,True
grafana,15,False,525,2.3,22,18.0,49,31,4,10,14,35,0,2.5,2,0,7,5,18,2,61.0,3.24,7,2.67,15,32,16.1,35.5,15.2,22.9,3.8,0.0,True,True
grafana,12,False,654,2.8,16,39.5,56,45,4,2,6,93,17,2.5,0,0,9,1,6,0,50.5,3.06,4,3.17,16,32,13.5,21.6,21.4,12.2,1.5,0.0,False,True
grafana,11,False,1376,6.0,36,38.5,57,27,4,9,13,98,8,5,0,0,8,5,16,0,20.3,0.65,3,0.49,16.0,27,2.6,14.1,2.9,26.2,0.0,3.6,False,True
grafana,15,False,1013,4.4,30,30.0,75,28,4,0,4,203,0,4.5,0,0,6,4,16,0,29.6,2.17,3,2.2,21,40,32.6,16.3,34.6,2.0,1.0,5.9,False,True
grafana,13,False,754,3.3,20,34.5,69,35,2,5,7,94,0,5,0,0,6,4,9,1,50.4,0.93,3,0.66,19,34,14.3,5.7,29.2,18.6,0.0,0.0,False,True
grafana,13,False,640,2.8,20,31.5,52,40,5,3,8,71,12,4.0,0,0,6,4,15,0,39.1,0.16,0,0.2,20.5,40,23.1,3.8,14.1,48.4,1.6,10.9,False,True
grafana,11,False,1497,6.5,36,35.5,77,19,8,4,12,115,17,6.5,1,1,12,2,7,0,29.4,0.87,3,0.74,22,35,23.1,10.8,21.4,8.0,0.7,2.0,True,True
grafana,9,False,1728,7.5,37,46,77,40,5,0,5,288,0,3,4,0,14,0,0,0,17.4,1.1,1,1.14,17.0,30,9.8,19.6,11.6,23.1,0.0,1.2,True,True
grafana,11,False,771,3.4,29,25,43,33,4,1,5,128,20,6,0,0,7,5,15,0,35.0,0.26,0,0.32,17,26,6.7,26.7,5.2,40.2,0.0,9.1,False,True
grafana,13,False,544,2.4,14,37.5,54,28,2,2,4,109,25,7.5,0,0,10,2,8,0,33.1,0.18,0,0.25,18,30,7.4,11.1,18.4,33.1,0.0,1.8,False,True
grafana,7,False,1353,5.9,31,40,79,49,2,5,7,169,14,4,1,0,7,5,18,0,25.1,0.15,0,0.17,19.0,36,19.4,11.3,3.0,34.7,0.7,3.7,True,True
grafana,10,False,1883,8.2,25,83,104,41,4,0,4,377,0,5.5,0,0,7,0,0,2,10.1,0.37,2,0.29,23.0,43,28.4,5.4,33.5,1.6,10.1,3.7,False,True
grafana,9,False,1129,4.9,15,70,110,51,3,4,7,141,0,3,0,0,10,0,0,0,21.3,0.53,1,0.51,19.5,35,20.4,13.0,9.7,5.3,57.6,2.7,False,True
grafana,9,False,1068,4.6,22,48.0,83,28,4,1,5,178,0,7,0,0,8,2,10,1,24.3,0.84,1,0.87,24.0,37,25.0,11.4,47.8,7.5,0.0,3.7,False,True
grafana,12,False,3020,13.1,55,55,93,70,6,0,6,431,0,7.0,0,0,5,0,0,2,8.6,0.23,0,0.24,15.0,33,10.4,31.7,19.5,38.7,15.2,1.7,False,True
grafana,11,False,821,3.6,30,20.0,61,29,5,0,5,137,20,4,9,0,15,1,4,0,47.5,0.37,0,0.45,17,39,19.5,24.4,4.9,23.1,7.3,0.0,True,True
grafana,8,False,1634,7.1,57,27,47,24,7,8,15,102,0,4,14,0,24,9,24,1,32.4,0.55,2,0.47,18,28,8.2,14.1,25.7,26.3,0.0,0.0,True,True
grafana,13,False,1311,5.7,36,30.0,62,17,4,1,5,218,60,5,0,0,5,5,11,2,14.5,1.37,0,1.55,17,27,5.5,13.7,13.0,29.0,0.0,0.8,False,True
grafana,13,False,1825,7.9,48,41.0,66,8,6,6,12,140,0,7.0,6,0,18,6,20,0,19.7,0.49,0,0.54,17,34,13.7,23.2,6.6,20.8,0.0,1.1,True,True
grafana,11,False,1055,4.6,37,21,53,21,4,7,11,88,9,4,7,0,19,1,3,0,58.8,2.09,4,1.99,20.5,33,11.5,21.2,40.8,22.7,0.0,0.9,True,True
grafana,13,False,1610,7.0,44,36.0,62,45,4,0,4,322,25,6.0,16,0,24,3,7,1,23.0,0.0,0,0.0,22.5,41,23.4,7.8,29.8,34.2,0.0,1.2,True,True
grafana,13,False,2125,9.2,45,48,74,48,6,3,9,212,0,10,1,3,7,1,3,0,11.3,1.65,2,1.67,20.5,36,17.3,18.4,32.0,9.9,1.4,0.0,True,True
grafana,13,False,962,4.2,32,32.0,46,40,7,6,13,69,8,5,1,0,13,7,26,4,32.2,0.0,0,0.0,18,35,17.0,12.8,18.7,33.3,0.0,0.0,True,True
grafana,8,False,466,2.0,15,34,50,11,2,4,6,67,17,5.0,0,0,5,4,16,0,85.8,2.36,6,1.58,20.0,32,18.2,22.7,25.8,40.8,0.0,12.9,False,True
grafana,16,False,208,0.9,4,38.5,111,33,0,0,0,208,0,0,0,0,6,0,0,0,52.9,3.37,7,0.0,17,56,22.2,33.3,14.4,43.3,0.0,0.0,False,True
grafana,11,False,1287,5.6,28,48.0,78,35,3,3,6,184,33,4.5,2,0,9,0,0,0,17.9,0.78,3,0.62,21.0,34,19.6,8.9,23.3,23.3,0.0,2.3,True,True
grafana,10,False,842,3.7,26,33.0,55,12,3,4,7,105,0,6,0,0,8,5,14,3,27.3,0.36,2,0.14,19.0,33,16.7,19.0,10.7,62.9,2.4,2.4,False,True
grafana,12,False,332,1.4,8,43.5,62,18,0,0,0,332,0,0,0,0,5,1,6,1,84.3,0.6,1,0.55,26.0,43,41.7,8.3,33.1,21.1,0.0,0.0,False,True
grafana,12,False,959,4.2,24,40.5,64,5,3,3,6,137,0,3.5,0,0,9,1,2,0,25.0,0.42,2,0.25,21,31,11.1,8.9,20.9,15.6,4.2,1.0,False,True
grafana,9,False,1602,7.0,32,47.5,71,25,7,5,12,123,0,5.0,0,0,10,4,8,1,25.6,0.06,0,0.07,22.5,36,21.4,11.4,21.2,40.6,0.6,1.9,False,True
grafana,15,False,885,3.8,24,37.0,57,38,4,0,4,177,0,7.5,1,0,8,3,10,1,19.2,0.11,1,0.0,20,31,11.6,18.6,5.6,24.9,0.0,4.5,True,True
grafana,11,False,322,1.4,11,28,40,34,2,0,2,107,0,3.5,0,0,5,0,0,0,55.9,4.97,10,3.49,20.0,47,28.6,28.6,15.5,18.6,0.0,0.0,False,True
